Flow,DissolvedOxygenConcAve,PhosphorusConcAve,SuspendedSedimentConcAve,TotalNitrogenConcAve,PhytoplanktonConcAve
2410,7.1,0.02,6,0.37,11000
11000,10,0.08,16,0.54,3400
2290,10.6,0.02,6,0.54,5600
8520,14.9,0.02,11,0.57,9900
3970,14.1,0.02,12,0.58,21000
2300,8.6,0.01,5,0.37,4000
2330,8.5,0.03,1,0.32,14000
2330,8.3,0.02,5,0.38,12000
2290,7.4,0.08,7,0.89,1800
34300,9.1,0.07,22,0.76,1200
7720,7.1,0.02,9,0.4,11000
11000,5.6,0.02,10,0.53,15000
8030,6.8,0.02,6,0.38,110000
7080,9.4,0.02,6,0.46,7800
12500,8.5,0.02,7,0.49,440
6210,7.5,0.02,5,0.42,930
2260,8.1,0.01,7,0.32,96000
7290,6.8,0.02,5,0.26,670
5500,9.8,0.01,4,0.33,23000
9150,13.7,0.2,7,0.57,13000
13900,10.6,0.03,10,0.45,5900
4930,8,0.02,5,0.33,13000
12300,8,0.04,3,0.2,32000
2410,8.3,0.24,3,0.22,10000
1580,10.1,0.01,4,0.74,2000
1230,13,0.01,4,0.58,1100
4650,9.1,0.02,5,0.56,3300
2400,7.7,0.005,3,0.33,660
4940,8.3,0.005,3,0.44,2000
2300,8.1,0.01,4,0.32,2400
2270,7.2,0.02,2,0.065,8100
